
3.32597 4.79865 1.78584 0.870226 0.516119 0.275161 -0.0608809 -0.79834 -2.89563 -10 
-1.26861 1.51633 1.47424 1.17847 0.918476 0.644792 0.279182 -0.237112 -0.784249 0 
0.0831871 1.06088 1.41601 1.45037 1.33384 1.10566 0.769383 0.354623 -0.00440132 0 
0.54022 1.22765 1.67802 1.87243 1.85998 1.67376 1.33733 0.8901 0.411686 0 
0.849566 1.63096 2.19524 2.50041 2.5588 2.39099 2.01512 1.45603 0.760497 0 
1.22647 2.25069 2.97069 3.37408 3.4826 3.31504 2.87506 2.15751 1.17359 0 
1.80503 3.17394 4.06187 4.54154 4.68126 4.51028 4.01149 3.1245 1.77567 0 
2.81922 4.57764 5.56058 6.04801 6.18953 6.03224 5.53519 4.55257 2.80403 0 
4.89395 6.7565 7.55426 7.89964 7.99574 7.8931 7.54372 6.74605 4.88756 0 
10 10 10 10 10 10 10 10 10 10 
