
4.79923e-31 0.116978 0.413176 0.75 0.969846 0.969846 0.75 0.413176 0.116978 4.79923e-31 
0.116978 0.233956 0.530154 0.866978 1.08682 1.08682 0.866978 0.530154 0.233956 0.116978 
0.413176 0.530154 0.826352 1.16318 1.38302 1.38302 1.16318 0.826352 0.530154 0.413176 
0.75 0.866978 1.16318 1.5 1.71985 1.71985 1.5 1.16318 0.866978 0.75 
0.969846 1.08682 1.38302 1.71985 1.93969 1.93969 1.71985 1.38302 1.08682 0.969846 
0.969846 1.08682 1.38302 1.71985 1.93969 1.93969 1.71985 1.38302 1.08682 0.969846 
0.75 0.866978 1.16318 1.5 1.71985 1.71985 1.5 1.16318 0.866978 0.75 
0.413176 0.530154 0.826352 1.16318 1.38302 1.38302 1.16318 0.826352 0.530154 0.413176 
0.116978 0.233956 0.530154 0.866978 1.08682 1.08682 0.866978 0.530154 0.233956 0.116978 
4.79923e-31 0.116978 0.413176 0.75 0.969846 0.969846 0.75 0.413176 0.116978 4.79923e-31 
